id	formattedAddress	zipCode	county	latitude	longitude	propertyType	bedrooms	bathrooms	squareFootage	lotSize	yearBuilt	lastSaleDate	lastSalePrice	price_per_sqft	source	cohort	pulled_at
MLS-915546	444 Santiago Munos Street, El Paso, TX 79821	79821	El Paso				4	2	1440	5663		5/21/2025	245500	170.49	mls	2025	8/10/2026
MLS-917454	3083 MYRIAM Drive, El Paso, TX 79821	79821	El Paso	32.00038887	-106.5756612		4	2	1584	6534		5/22/2025	246000	155.3	mls	2025	8/10/2026
MLS-919496	436 Samuel Blount, El Paso, TX 79821	79821	El Paso				4	2	1514	0		5/23/2025	264950	175	mls	2025	8/10/2026
MLS-916379	424 Samuel Blount, El Paso, TX 79821	79821	El Paso				4	2	1514	5663		5/28/2025	265950	175.66	mls	2025	8/10/2026
MLS-920964	469 Miguel Payan Court, El Paso, TX 79821	79821	El Paso				4	2	1555	6098		6/6/2025	272950	175.53	mls	2025	8/10/2026
MLS-916229	456 Samuel Blount Court, El Paso, TX 79821	79821	El Paso				4	2	1515	5663		6/5/2025	264950	174.88	mls	2025	8/10/2026
MLS-915378	468 Santiago Munos Street, El Paso, TX 79821	79821	El Paso				4	2	1555	6098		6/27/2025	272950	175.53	mls	2025	8/10/2026
MLS-915549	440 Santiago Munos Street, El Paso, TX 79821	79821	El Paso				4	2	1555	5663		7/16/2025	269380	173.23	mls	2025	8/10/2026
MLS-920965	465 Miguel Payan Court, El Paso, TX 79821	79821	El Paso				4	2	1440	5663		7/24/2025	256950	178.44	mls	2025	8/10/2026
MLS-920971	457 Miguel Payan Court, El Paso, TX 79821	79821	El Paso				4	2	1555	5663		7/29/2025	267950	172.32	mls	2025	8/10/2026
MLS-879833	452 Davi's Greenwood, El Paso, TX 79821	79821	El Paso				4	2	1750	5663		7/30/2025	284950	162.83	mls	2025	8/10/2026
MLS-915538	460 Santiago Munos Street, El Paso, TX 79821	79821	El Paso				4	2	1555	5663		8/13/2025	269380	173.23	mls	2025	8/10/2026
MLS-874469	424 Davi's Greenwood Court, El Paso, TX 79821	79821	El Paso				4	2	1750	5663		5/30/2025	264950	151.4	mls	2025	8/10/2026
MLS-913588	337 Sol Court, El Paso, TX 79821	79821	El Paso				4	3	1645	6098		3/21/2025	273950	166.53	mls	2025	8/10/2026
MLS-916201	400 Davi's Greenwood, El Paso, TX 79821	79821	El Paso				4	3	1935	6098		4/16/2025	294950	152.43	mls	2025	8/10/2026
MLS-906915	8413 Fish Place Street, El Paso, TX 79821	79821	El Paso				4	3	2050	11761		8/19/2025	315000	153.66	mls	2025	8/10/2026
MLS-907666	3099 BARILOCHE Drive, El Paso, TX 79821	79821	El Paso	31.99812754	-106.5743027		4	3	1618	10454		10/31/2024	245000	151.42	mls	2024	8/10/2026
MLS-908803	952 Danny Sanchez Place, El Paso, TX 79821	79821	El Paso	31.99146638	-106.5955823		4	3	1890	6534		1/15/2025	236000	124.87	mls	2025	8/10/2026
MLS-922304	3050 Selene Vega Avenue, El Paso, TX 79821	79821	El Paso	31.99871935	-106.5769279		4	3	1580	6098		5/28/2025	242000	153.16	mls	2025	8/10/2026
MLS-924234	416 Samuel Blount Court, El Paso, TX 79821	79821	El Paso				4	3	1700	6098		7/26/2025	294950	173.5	mls	2025	8/10/2026
MLS-901469	7722 Cottonwood Street, El Paso, TX 79821	79821	El Paso				4	3	1599	5227		12/26/2024	261950	163.82	mls	2024	8/10/2026
MLS-901470	425 Josefa Cerezerez Street, El Paso, TX 79821	79821	El Paso				4	3	1599	5663		1/27/2025	261950	163.82	mls	2025	8/10/2026
MLS-913694	8413 WALLY PLACE, El Paso, TX 79821	79821	El Paso				4	3	1644	6098		4/22/2025	292950	178.19	mls	2025	8/10/2026
MLS-874424	7665 California Stage Street, El Paso, TX 79821	79821	El Paso				4	3	2156	8712		6/27/2025	304950	141.44	mls	2025	8/10/2026
MLS-918995	8351 VINTON Road, El Paso, TX 79821	79821	El Paso	31.97763599	-106.6293188		4	4	2822	161608		6/13/2025	776500	275.16	mls	2025	8/10/2026
MLS-921759	436 Davis Greenwood Street, El Paso, TX 79821	79821	El Paso				5	4	2704	6098		8/4/2025	349950	129.42	mls	2025	8/10/2026
MLS-879831	7661 California Stage Street, El Paso, TX 79821	79821	El Paso				5	3	2485	8712		6/20/2025	349950	140.82	mls	2025	8/10/2026
MLS-895913	7657 California Stage Street, El Paso, TX 79821	79821	El Paso				5	4	2704	9583		3/24/2025	339950	125.72	mls	2025	8/10/2026
MLS-874444	7654 Cottonwood Street, El Paso, TX 79821	79821	El Paso				5	4	2704	6534		4/23/2025	348950	129.05	mls	2025	8/10/2026
MLS-874436	468 Davis Greenwood Court, El Paso, TX 79821	79821	El Paso				5	4	2704	8712		4/29/2025	339950	125.72	mls	2025	8/10/2026
MLS-881316	404 Davi's Greenwood Street, El Paso, TX 79821	79821	El Paso				5	4	2704	6098		6/3/2025	329950	122.02	mls	2025	8/10/2026
MLS-912244	7116 Second Street Street, El Paso, TX 79835	79835	El Paso	31.91574674	-106.5983122		2	1	1404	6098		3/24/2025	150000	106.84	mls	2025	8/10/2026
MLS-900650	6856 Third Street, El Paso, TX 79835	79835	El Paso	31.90745123	-106.5973552		3	1	1629	5227		6/27/2024	114000	69.98	mls	2024	8/10/2026
MLS-908710	1102 ZINN Road, El Paso, TX 79835	79835	El Paso	31.95853342	-106.5749336		3	1	964	6098		10/10/2024	147000	152.49	mls	2024	8/10/2026
MLS-911317	6856 3RD Street, El Paso, TX 79835	79835	El Paso	31.90745123	-106.5973552		3	2	1629	6098		2/4/2025	227000	139.35	mls	2025	8/10/2026
MLS-905636	594 JOE ANGEL Road, El Paso, TX 79835	79835	El Paso	31.90376987	-106.5972952		3	1	1354	7405		9/6/2024	145000	107.09	mls	2024	8/10/2026
MLS-909751	929 COACH Road, El Paso, TX 79835	79835	El Paso	31.96517098	-106.5761171		3	1	1424	6098		11/4/2024	70000	49.16	mls	2024	8/10/2026
MLS-914487	717 Tiffany Road, El Paso, TX 79835	79835	El Paso	31.96260305	-106.5797286		3	1	1610	6970		3/27/2025	158147	98.23	mls	2025	8/10/2026
MLS-917207	7191 1ST Street, El Paso, TX 79835	79835	El Paso	31.91885372	-106.5993884		3	1	1560	6098		4/1/2025	170000	108.97	mls	2025	8/10/2026
MLS-922899	929 COACH Road, El Paso, TX 79835	79835	El Paso	31.96517098	-106.5761171		3	1	1424	13068		7/9/2025	146000	102.53	mls	2025	8/10/2026
MLS-900501	7417 Scarlet Oak Place, El Paso, TX 79835	79835	El Paso	31.93228864	-106.5920959		3	2	1959	6534		5/1/2024	318950	162.81	mls	2024	8/10/2026
MLS-907876	1601 Tiffany Road, El Paso, TX 79835	79835	El Paso	31.96272328	-106.5719698		3	2	1189	7841		11/13/2024	129500	108.92	mls	2024	8/10/2026
MLS-915547	136 LAURA GALE Drive, El Paso, TX 79835	79835	El Paso	31.94543879	-106.6108235		3	2	2899	79279		4/4/2025	525000	181.1	mls	2025	8/10/2026
MLS-900425	216 La Union, El Paso, TX 79835	79835	El Paso	31.91393124	-106.5989731		3	2	1024	3049		8/9/2024	85000	83.01	mls	2024	8/10/2026
MLS-899820	7324 WILDCAT Drive, El Paso, TX 79835	79835	El Paso	31.9235436	-106.6139005		3	2	980	20038		4/16/2024	155000	158.16	mls	2024	8/10/2026
MLS-899455	545 Spanish Oak Drive, El Paso, TX 79835	79835	El Paso	31.93394983	-106.5918787		3	2	1706	7841		7/11/2024	284999	167.06	mls	2024	8/10/2026
MLS-899453	541 Spanish Oak Drive, El Paso, TX 79835	79835	El Paso	31.93394706	-106.5920235		3	2	1706	6534		7/31/2024	284999	167.06	mls	2024	8/10/2026
MLS-889606	532 Logwood Avenue, El Paso, TX 79835	79835	El Paso	31.93203402	-106.5919236		3	2	1523	7841		8/13/2024	271950	178.56	mls	2024	8/10/2026
MLS-904916	850 Talbot C5, El Paso, TX 79835	79835	El Paso	31.90827811	-106.5908322		3	2	924	0		9/3/2024	57000	61.69	mls	2024	8/10/2026
MLS-904350	1031 VINTON Avenue 30, El Paso, TX 79835	79835	El Paso	31.91778714	-106.5863658		3	2	1320	3920		9/9/2024	249888	189.31	mls	2024	8/10/2026
MLS-904348	1031 VINTON Avenue 28, El Paso, TX 79835	79835	El Paso	31.91778714	-106.5863658		3	2	1320	3920		9/17/2024	249888	189.31	mls	2024	8/10/2026
MLS-904349	1031 VINTON Avenue 29, El Paso, TX 79835	79835	El Paso	31.91778714	-106.5863658		3	2	1320	3920		10/10/2024	249888	189.31	mls	2024	8/10/2026
MLS-909150	7436 H CHAVIRA Place, El Paso, TX 79835	79835	El Paso	31.92768967	-106.585491		3	2	1666	10454		10/29/2024	270000	162.06	mls	2024	8/10/2026
MLS-901747	7730 Cottonwood Street, El Paso, TX 79835	79835	El Paso				3	2	1499	5227		11/30/2024	249950	166.74	mls	2024	8/10/2026
MLS-913076	7380 Ninth Street, El Paso, TX 79835	79835	El Paso	31.92543051	-106.5876702		3	2	1895.5	10890		2/13/2025	307000	161.96	mls	2025	8/10/2026
MLS-918932	918 ZINN Road, El Paso, TX 79835	79835	El Paso	31.95884142	-106.5763397		3	2	2600	7405		3/19/2025	250000	96.15	mls	2025	8/10/2026
MLS-914896	1514 Hannibal Road, El Paso, TX 79835	79835	El Paso	31.96337537	-106.5719577		3	2	1328	6534		5/5/2025	199000	149.85	mls	2025	8/10/2026
MLS-917168	190 Brook Avenue, El Paso, TX 79835	79835	El Paso	31.93813244	-106.6006611		3	2	1176	4792		5/12/2025	115000	97.79	mls	2025	8/10/2026
MLS-893765	529 Osier Dr, El Paso, TX 79835	79835	El Paso	31.93309107	-106.5926904		3	3	1629	6098		5/20/2024	276950	170.01	mls	2024	8/10/2026
MLS-894979	525 Osier Dr., El Paso, TX 79835	79835	El Paso	31.93308921	-106.5929412		3	3	1605	6534		7/29/2024	272950	170.06	mls	2024	8/10/2026
MLS-893769	521 Osier Dr, El Paso, TX 79835	79835	El Paso	31.93309201	-106.5930307		3	3	1629	6098		7/29/2024	276950	170.01	mls	2024	8/10/2026
MLS-896500	522 Spanish Oak Dr. Drive, El Paso, TX 79835	79835	El Paso	31.93381876	-106.5927385		3	3	1629	6970		8/14/2024	279950	171.85	mls	2024	8/10/2026
MLS-896260	526 Spanish Oak Dr. Drive, El Paso, TX 79835	79835	El Paso	31.9338213	-106.5926058		3	3	1605	7405		10/15/2024	275950	171.93	mls	2024	8/10/2026
MLS-897512	518 Spanish Oakc Drive, El Paso, TX 79835	79835	El Paso	31.93380767	-106.5928648		3	3	1605	6098		12/10/2024	275950	171.93	mls	2024	8/10/2026
MLS-887301	1316 Hickerson Drive, El Paso, TX 79835	79835	El Paso	31.96000897	-106.5747888		3	3	1559	6098		4/27/2024	255950	164.18	mls	2024	8/10/2026
MLS-887302	1306 Meadow Road, El Paso, TX 79835	79835	El Paso	31.96033624	-106.5741528		3	3	1559	6098		4/27/2024	255950	164.18	mls	2024	8/10/2026
MLS-887294	1310 Meadow Road, El Paso, TX 79835	79835	El Paso	31.96033576	-106.5741343		3	3	1659	6098		5/14/2024	269950	162.72	mls	2024	8/10/2026
MLS-887292	1305 Hickerson Drive, El Paso, TX 79835	79835	El Paso	31.96004164	-106.5746528		3	3	1659	6098		5/14/2024	269950	162.72	mls	2024	8/10/2026
MLS-923543	619 anthony Avenue, El Paso, TX 79835	79835	El Paso	31.92035939	-106.5942372		3	4	1760	42253		8/29/2025	190000	107.95	mls	2025	8/10/2026
MLS-888268	557 Logwood Avenue, El Paso, TX 79835	79835	El Paso	31.9321225	-106.590812		4	2	1635	6098		4/9/2024	256950	157.16	mls	2024	8/10/2026
MLS-888303	558 Osier Drive, El Paso, TX 79835	79835	El Paso	31.93310217	-106.5907266		4	2	1635	9148		4/30/2024	261950	160.21	mls	2024	8/10/2026
MLS-901024	6904 5TH Street, El Paso, TX 79835	79835	El Paso	31.91020729	-106.5952876		4	2	1683	6098		7/19/2024	228500	135.77	mls	2024	8/10/2026
MLS-894174	533 Spanish Oak Drive, El Paso, TX 79835	79835	El Paso	31.93394152	-106.5923132		4	2	1635	6534		7/31/2024	256950	157.16	mls	2024	8/10/2026
MLS-911151	7350 Seventh Street, El Paso, TX 79835	79835	El Paso	31.92494573	-106.5922577		4	2	1666	11761		4/4/2025	270000	162.06	mls	2025	8/10/2026
MLS-889151	562 Osier Drive, El Paso, TX 79835	79835	El Paso	31.9331937	-106.5907086		4	3	1830	9148		6/10/2024	284450	155.44	mls	2024	8/10/2026
MLS-894100	537 Spanish Oak Drive, El Paso, TX 79835	79835	El Paso	31.93394429	-106.5921684		4	3	1830	6534		7/26/2024	274950	150.25	mls	2024	8/10/2026
MLS-894098	513 Spanish Oak Drive, El Paso, TX 79835	79835	El Paso	31.9339067	-106.5930414		4	3	1830	7841		11/26/2024	299950	163.91	mls	2024	8/10/2026
MLS-894676	537 Osier Drive, El Paso, TX 79835	79835	El Paso	31.93310117	-106.5922104		4	2	1710	6534		8/9/2024	273600	160	mls	2024	8/10/2026
MLS-894671	553 Osier Drive, El Paso, TX 79835	79835	El Paso	31.93309308	-106.5915239		4	2	1710	7841		8/9/2024	273600	160	mls	2024	8/10/2026
MLS-894674	545 Osier Drive, El Paso, TX 79835	79835	El Paso	31.93310001	-106.5918092		4	2	1851	6534		9/3/2024	297100	160.51	mls	2024	8/10/2026
MLS-894482	550 Spanish Oak Drive, El Paso, TX 79835	79835	El Paso	31.93383735	-106.5917413		4	2	1710	6534		9/9/2024	274700	160.64	mls	2024	8/10/2026
MLS-894670	557 Osier Drive, El Paso, TX 79835	79835	El Paso	31.93308962	-106.5913813		4	2	1851	6534		9/10/2024	297100	160.51	mls	2024	8/10/2026
MLS-894480	558 Spanish Oak Drive, El Paso, TX 79835	79835	El Paso	31.93383907	-106.5915957		4	2	1851	6534		10/11/2024	297600	160.78	mls	2024	8/10/2026
MLS-894667	569 Osier Drive, El Paso, TX 79835	79835	El Paso	31.93307923	-106.5909535		4	2	1710	7841		11/27/2024	275997	161.4	mls	2024	8/10/2026
MLS-914659	562 Spanish Oak Drive, El Paso, TX 79835	79835	El Paso	31.93383994	-106.591523		4	2	1710	6534		3/3/2025	275200	160.94	mls	2025	8/10/2026
MLS-917097	141 TRANQUILITY Street, El Paso, TX 79835	79835	El Paso	31.91885604	-106.6062138		4	2	1494	10890		4/8/2025	90000	60.24	mls	2025	8/10/2026
MLS-914657	542 Spanish Oak Drive, El Paso, TX 79835	79835	El Paso	31.93383146	-106.5920748		4	2	1851	6534		5/1/2025	299750	161.94	mls	2025	8/10/2026
MLS-913419	848 Jalynn Grace Drive, El Paso, TX 79835	79835	El Paso	31.92620204	-106.5862567		4	2	1744	10019		5/12/2025	350000	200.69	mls	2025	8/10/2026
MLS-923141	569 Logwood Avenue, El Paso, TX 79835	79835	El Paso	31.93211671	-106.5905658		4	2	1824	6098		6/27/2025	291000	159.54	mls	2025	8/10/2026
MLS-911281	628 Teak Court, El Paso, TX 79835	79835	El Paso	31.93275932	-106.5892551		4	3	1959	6098		12/17/2024	318950	162.81	mls	2024	8/10/2026
MLS-908111	7401 Scarlet Oak Place, El Paso, TX 79835	79835	El Paso	31.9321516	-106.5920972		4	3	2692	6534		12/30/2024	360000	133.73	mls	2024	8/10/2026
MLS-912053	636 Teak Court, El Paso, TX 79835	79835	El Paso	31.93275998	-106.5891592		4	3	2110	6098		3/17/2025	349650	165.71	mls	2025	8/10/2026
MLS-914765	7412 Alder Place, El Paso, TX 79835	79835	El Paso	31.93222711	-106.5928237		4	3	2800	6098		3/4/2025	381950	136.41	mls	2025	8/10/2026
MLS-919919	7417 Larch Place, El Paso, TX 79835	79835	El Paso				4	3	1922	6534		6/13/2025	320950	166.99	mls	2025	8/10/2026
MLS-891967	7401 Chestnut Place, El Paso, TX 79835	79835	El Paso				4	2	1515	6098		5/1/2024	264500	174.59	mls	2024	8/10/2026
MLS-888253	577 Logwood Avenue, El Paso, TX 79835	79835	El Paso	31.93211747	-106.5902812		4	2	1782	6098		4/6/2024	271950	152.61	mls	2024	8/10/2026
MLS-888709	504 Logwood Avenue, El Paso, TX 79835	79835	El Paso	31.93200326	-106.5933117		4	2	1408	7841		4/11/2024	259500	184.3	mls	2024	8/10/2026
MLS-896304	430 Corregidor Avenue, El Paso, TX 79835	79835	El Paso	31.93267555	-106.5956363		4	2	1694	15246		4/11/2024	237000	139.91	mls	2024	8/10/2026
MLS-894669	561 Osier Drive, El Paso, TX 79835	79835	El Paso	31.93308615	-106.5912387		4	2	1490	6534		4/15/2024	241400	162.01	mls	2024	8/10/2026
MLS-885560	621 Teak Court, El Paso, TX 79835	79835	El Paso	31.93287325	-106.5893521		4	2	1775	7405		4/22/2024	300950	169.55	mls	2024	8/10/2026
MLS-889153	570 Osier Drive, El Paso, TX 79835	79835	El Paso	31.93333695	-106.5907138		4	2	1824	9148		5/2/2024	278950	152.93	mls	2024	8/10/2026
MLS-894474	566 Spanish Oak Drive, El Paso, TX 79835	79835	El Paso	31.9338408	-106.5914502		4	2	1555	7841		5/6/2024	254300	163.54	mls	2024	8/10/2026
MLS-888266	561 Logwood Avenue, El Paso, TX 79835	79835	El Paso	31.93212057	-106.59073		4	2	1782	0		5/4/2024	267950	150.36	mls	2024	8/10/2026
MLS-889930	594 Osier Drive, El Paso, TX 79835	79835	El Paso	31.93376672	-106.5907295		4	2	1782	9148		5/4/2024	272950	153.17	mls	2024	8/10/2026
MLS-889160	590 Osier Drive, El Paso, TX 79835	79835	El Paso	31.9336951	-106.5907269		4	2	1824	9148		5/4/2024	277950	152.38	mls	2024	8/10/2026
MLS-888274	553 Logwood Avenue, El Paso, TX 79835	79835	El Paso	31.93212443	-106.5908941		4	2	1824	6098		5/9/2024	273950	150.19	mls	2024	8/10/2026
MLS-888293	7416 Scarlet Oak Place, El Paso, TX 79835	79835	El Paso	31.93228773	-106.5919609		4	2	1782	6534		5/9/2024	276950	155.42	mls	2024	8/10/2026
MLS-898689	813 BAYFIELD Way, El Paso, TX 79835	79835	El Paso	31.96107383	-106.5789311		4	2	2040	6534		5/10/2024	180000	88.24	mls	2024	8/10/2026
MLS-894675	541 Osier Drive, El Paso, TX 79835	79835	El Paso	31.93310348	-106.5919518		4	2	1490	6534		5/10/2024	241400	162.01	mls	2024	8/10/2026
MLS-900155	7409 Alder Place, El Paso, TX 79835	79835	El Paso	31.9321943	-106.5929594		4	2	1501	6098		5/16/2024	264500	176.22	mls	2024	8/10/2026
MLS-889149	566 Osier Drive, El Paso, TX 79835	79835	El Paso	31.93326532	-106.5907112		4	2	1782	9148		5/17/2024	281950	158.22	mls	2024	8/10/2026
MLS-900195	1402 TIFFANY Road, El Paso, TX 79835	79835	El Paso	31.96264263	-106.5730333		4	2	1508	6534		5/21/2024	165000	109.42	mls	2024	8/10/2026
MLS-891908	512 Logwood Avenue, El Paso, TX 79835	79835	El Paso	31.93201625	-106.5926785		4	2	1515	7841		5/22/2024	264500	174.59	mls	2024	8/10/2026
MLS-896066	7413 Alder Place, El Paso, TX 79835	79835	El Paso	31.93222893	-106.5929587		4	2	1408	6098		5/30/2024	259500	184.3	mls	2024	8/10/2026
MLS-899939	540 Logwood, El Paso, TX 79835	79835	El Paso	31.93203015	-106.5917595		4	2	1408	7841		5/30/2024	261500	185.72	mls	2024	8/10/2026
MLS-891762	7413 White Cedar Place, El Paso, TX 79835	79835	El Paso	31.93266591	-106.5897253		4	2	1824	6534		5/31/2024	273950	150.19	mls	2024	8/10/2026
MLS-890689	7417 White Cedar Place, El Paso, TX 79835	79835	El Paso	31.9328709	-106.5897265		4	2	1782	6534		6/1/2024	271950	152.61	mls	2024	8/10/2026
MLS-889010	8217 Hickerson Drive, El Paso, TX 79835	79835	El Paso	31.96025357	-106.5746466		4	2	1775	6098		6/1/2024	275950	155.46	mls	2024	8/10/2026
MLS-892464	528 Logwood Avenue, El Paso, TX 79835	79835	El Paso	31.93203448	-106.5920952		4	2	1515	7841		6/3/2024	264500	174.59	mls	2024	8/10/2026
